Group,ManagedBy,whenCreated,whenChanged,Description,SID,DistinguishedName,CanonicalName
"Pre-Windows 2000 Compatible Access","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","A backward compatibility group which allows read access on all users and groups in the domain","S-1-5-32-554","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Pre-Windows 2000 Compatible Access"
"Incoming Forest Trust Builders","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group can create incoming, one-way trusts to this forest","S-1-5-32-557","CN=Incoming Forest Trust Builders,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Incoming Forest Trust Builders"
"Windows Authorization Access Group","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","S-1-5-32-560","CN=Windows Authorization Access Group,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Windows Authorization Access Group"
"Terminal Server License Servers","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group can update user accounts in Active Directory with information about license issuance, for the purpose of tracking and reporting TS Per User CAL usage","S-1-5-32-561","CN=Terminal Server License Servers,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Terminal Server License Servers"
"Allowed RODC Password Replication Group","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members in this group can have their passwords replicated to all read-only domain controllers in the domain","S-1-5-21-2248324977-2314973842-2121952795-571","CN=Allowed RODC Password Replication Group,CN=Users,DC=sos,DC=labs","sos.labs/Users/Allowed RODC Password Replication Group"
"Denied RODC Password Replication Group","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members in this group cannot have their passwords replicated to any read-only domain controllers in the domain","S-1-5-21-2248324977-2314973842-2121952795-572","CN=Denied RODC Password Replication Group,CN=Users,DC=sos,DC=labs","sos.labs/Users/Denied RODC Password Replication Group"
"Read-only Domain Controllers","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","Members of this group are Read-Only Domain Controllers in the domain","S-1-5-21-2248324977-2314973842-2121952795-521","CN=Read-only Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Read-only Domain Controllers"
"Enterprise Read-only Domain Controllers","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group are Read-Only Domain Controllers in the enterprise","S-1-5-21-2248324977-2314973842-2121952795-498","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Read-only Domain Controllers"
"Cloneable Domain Controllers","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group that are domain controllers may be cloned.","S-1-5-21-2248324977-2314973842-2121952795-522","CN=Cloneable Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Cloneable Domain Controllers"
"Protected Users","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","S-1-5-21-2248324977-2314973842-2121952795-525","CN=Protected Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Protected Users"
"Key Admins","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group can perform administrative actions on key objects within the domain.","S-1-5-21-2248324977-2314973842-2121952795-526","CN=Key Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Key Admins"
"Enterprise Key Admins","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group can perform administrative actions on key objects within the forest.","S-1-5-21-2248324977-2314973842-2121952795-527","CN=Enterprise Key Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Key Admins"
"DnsAdmins","","1/12/2017 1:06:37 AM","1/12/2017 1:06:37 AM","DNS Administrators Group","S-1-5-21-2248324977-2314973842-2121952795-1101","CN=DnsAdmins,CN=Users,DC=sos,DC=labs","sos.labs/Users/DnsAdmins"
"DnsUpdateProxy","","1/12/2017 1:06:37 AM","1/12/2017 1:06:37 AM","DNS clients who are permitted to perform dynamic updates on behalf of some other clients (such as DHCP servers).","S-1-5-21-2248324977-2314973842-2121952795-1102","CN=DnsUpdateProxy,CN=Users,DC=sos,DC=labs","sos.labs/Users/DnsUpdateProxy"
"DHCP Users","","1/12/2017 1:14:15 AM","1/12/2017 1:14:15 AM","Members who have view-only access to the DHCP service","S-1-5-21-2248324977-2314973842-2121952795-1103","CN=DHCP Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/DHCP Users"
"DHCP Administrators","","1/12/2017 1:14:15 AM","1/12/2017 1:14:15 AM","Members who have administrative access to the DHCP Service","S-1-5-21-2248324977-2314973842-2121952795-1104","CN=DHCP Administrators,CN=Users,DC=sos,DC=labs","sos.labs/Users/DHCP Administrators"
"Win7 Admins","","1/12/2017 1:22:14 AM","1/12/2017 1:43:56 AM","","S-1-5-21-2248324977-2314973842-2121952795-1110","CN=Win7 Admins,DC=sos,DC=labs","sos.labs/Win7 Admins"
